Document ID,Dagtekening,Verzoeksdatum,Besluit,Deelbesluit,Deelbesluit kenmerk,Verdaagd,Overig,Link
nl.mnre1153.2i.2023.652.doc.1,18 augustus 2023,29 juni 2023,Ik heb besloten de informatie die u vraagt gedeeltelijk openbaar te maken,FALSE,None,FALSE,Op 6 juli 2023 heeft u telefonisch contact gehad met een medewerker van RVO waarin u heeft aangegeven welke gegevens u precies wenst te ontvangen.,https://open.overheid.nl/documenten/52b9079f-feed-431e-9035-6569287792bc/file
nl.mnre1130.2i.2023.291.doc.1,28 Aug 2023,6 juli 2023,Ik heb besloten uw verzoek af te wijzen. Binnen de ILT zijn geen documenten aanwezig die overeenkomen met hetgeen u heeft verzocht in uw informatieverzoek.,FALSE,None,"Op 3 augustus
2023 heb ik gebruik gemaakt van de wettelijke mogelijkheid om de beslistermijn
te verdagen met twee weken. ",,https://open.overheid.nl/documenten/0ae82120-619e-4cd8-9a6c-95c601337639/file
nl.mnre1018.2i.2023.104.doc.1,25-7-2023,26 juni jl.,Ik besluit documenten 1 tot en met 7 en 10 tot en met 16 gedeeltelijk openbaar te maken. Document 8 en 9 maak ik volledig openbaar.,FALSE,None,FALSE,,https://open.overheid.nl/documenten/1a3ca6ae-bd7b-4d96-b864-25c4bc3bea65/file
nl.mnre1018.2i.2023.1.besluit.1,17-1-2023,30 November 2022,"Ik beslu1t deze analyse openbaar te maken, met uitzondering van persoonsgegevens.",FALSE,None,FALSE,"U vraagt om openbaarmaking, over de periode 1 januari 2018 tot heden, van:",https://www.rijksoverheid.nl/documenten/woo-besluiten/2023/01/17/besluit-op-woo-verzoek-over-exportvergunningen-en-exportkredietverzekeringen-asml-naar-china
nl.mnre1018.2i.2023.65.doc.1,22 Jun 2023,5 mei 2023,Ik besluit de e-mailwisseling deels openbaar te maken,FALSE,None,FALSE,In uw verzoek vraagt u om openbaarmaking van informatie met betrekking tot het bezoek van president Zelensky van Oekraïne aan Nederland op 4 mei 2023.,https://open.overheid.nl/documenten/f476ce3d-6b8f-4027-8874-fe837d18f709/file
nl.mnre1010.2i.2023.10.doc.1,21 maart 2023,29 maart 2022,Ik besluit de door u gevraagde informatie deels openbaar te maken.,Op 22 augustus 2022 heb ik een eerste deelbesluit op uw verzoek genomen.,verwijs ik u naar mijn besluit met kenmerk 4276480.,FALSE,"Op 27 oktober 2022 heeft u een ingebrekestelling ingediend wegens het uitblijven van het tweede deelbesluit. U heeft vervolgens op 15 december 2022 bij de rechtbank Amsterdam een beroep niet-tijdig ingesteld. De rechtbank Amsterdam heeft op 7 februari 2023 uitspraak gedaan, en mij een termijn gegeven van twee weken om, op straffe van een dwangsom, alsnog te beslissen op uw verzoek",https://open.overheid.nl/documenten/ronl-79e28a7720d902fbfc54fa4f5d72eced410e2482/pdf
nl.mnre1018.2i.2023.25.doc.1,23 Feb. 2023,26 augustus 2022,Ik besluit de documenten deels openbaar te maken.,FALSE,None,FALSE,"U vraagt om openbaarmaking van alle documenten inzake capaciteitsproblematiek bij hoog-risico processen, vanaf 1 januari 2019 tot heden.",https://github.com/JoranIK/ondragelijk-matglas/blob/f53503392437dd1b5d3811d26301980b0221c7d3/Notebooks/Experimenten/data/gemarkeerde%20documenten/Besluit%20op%20Woo-verzoek%20over%20capaciteitsproblematiek%20hoog%20risico%20profielen.pdf
nl.mnre1153.2i.2023.325.doc.1,6 juni 2023,12 December 2022,"Ik besluit de informatie waar u om verzocht openbaar te maken, met u9itzondering van de persoons- en bedrijfsgegevens die daarin staan.",FALSE,None,"Bij brief van 9 januari heb ik aangegeven dat de beoordeling van uw verzoek meer tijd in beslag neemt, omdat uw verzoek zo omvangrijk is, dat het niet lukt om hier binnen vier weken op te antwoorden.",,https://github.com/JoranIK/ondragelijk-matglas/blob/f53503392437dd1b5d3811d26301980b0221c7d3/Notebooks/Experimenten/data/gemarkeerde%20documenten/Besluit%20op%20Woo-verzoek%20over%20veetransporten%20van%20en%20naar%20Belgi_.pdf
nl.mnre1153.2i.2023.627.doc.1,30 mei 2023,None,In dit geval zal ik de informatie vier weken na de bekendmaking van dit besluit openbaar maken. ,FALSE,None,FALSE,,https://github.com/JoranIK/ondragelijk-matglas/blob/f53503392437dd1b5d3811d26301980b0221c7d3/Notebooks/Experimenten/data/gemarkeerde%20documenten/Besluit%20op%20Woo-verzoek%20over%20NVWA-gegevens%20controles%20op%20bestrijdingsmiddelen%20op%20groente%20en%20fruit.pdf
nl.mnre1010.2i.2023.5.doc.1,15 februari 2023,13 oktober 2022,"Ik besluit een deel van de door u gevraagde informatie openbaar te maken, met uitzondering van de persoonsgegevens die daarin staan.",FALSE,None,FALSE,,https://github.com/JoranIK/ondragelijk-matglas/blob/f53503392437dd1b5d3811d26301980b0221c7d3/Notebooks/Experimenten/data/gemarkeerde%20documenten/Besluit%20op%20Woo-verzoek%20over%20uitvoering%20uitspraak%20UTR%2021%203936%20openbaarmaking%20correspondentie.pdf
nl.mnre1058.2i.2023.30.besluit.1,29 januari 2015,None,None,FALSE,None,FALSE,,https://github.com/JoranIK/ondragelijk-matglas/blob/f53503392437dd1b5d3811d26301980b0221c7d3/Notebooks/Experimenten/data/gemarkeerde%20documenten/Openbaar%20te%20maken%20documenten.pdf
nl.mnre1153.2i.2023.304.doc.1,12 juni 2023,23 augustus 2022,"Ik besluit de documenten openbaar te maken, met uitzondering van de persoonsgegevens die daarin staan.",FALSE,None,Op 19 september 2022 heb ik aangegeven dat de beoordeling van uw verzoek meer tijd in beslag neemt en ik hiervoor twee weken extra nodig zou hebben. De uiterlijke beslisdatum is daarmee 5 oktober geworden.,,https://github.com/JoranIK/ondragelijk-matglas/blob/f53503392437dd1b5d3811d26301980b0221c7d3/Notebooks/Experimenten/data/gemarkeerde%20documenten/Besluit%20op%20Woo-verzoeken%20over%20de%20Uitvoeringsovereenkomst%20tussen%20de%20NVWA%20en%20Kwaliteitskeuring%20Dierlijke%20Sector.pdf
nl.mnre1153.2i.2023.74.besluit.1,24 februari 2023,14 juli 2021,"Ik besluit de documenten met nummers 7 t/m 14 openbaar te maken, met uitzondering van de persoonsgegevens die daarin staan.",FALSE,None,FALSE,,https://github.com/JoranIK/ondragelijk-matglas/blob/f53503392437dd1b5d3811d26301980b0221c7d3/Notebooks/Experimenten/data/gemarkeerde%20documenten/Besluit%20op%20Wob-Woo-verzoek%20over%20openbaarmaking%20beleid%20moederloze%20opfok%20van%20varkens.pdf
nl.mnre1153.2i.2023.37.besluit.1,30 januari 2023,24 oktober 2022,Ik besluit een deel van de door u gevraagde informatie niet openbaar te maken. ,FALSE,None,FALSE,,https://github.com/JoranIK/ondragelijk-matglas/blob/f53503392437dd1b5d3811d26301980b0221c7d3/Notebooks/Experimenten/data/gemarkeerde%20documenten/woo-experiment-magnesiumzout-in-stal.pdf
nl.mnre1153.2i.2023.65.besluit.1,15 februari 2023,14 November 2022,Ik heb besloten de informatie die u vraagt gedeeltelijk openbaar te maken.,FALSE,None,FALSE,een stallijst met peildatum 14 november 2022.,https://github.com/JoranIK/ondragelijk-matglas/blob/f53503392437dd1b5d3811d26301980b0221c7d3/Notebooks/Experimenten/data/gemarkeerde%20documenten/Besluit%20op%20Woo-verzoek%20over%20diertellingen%20op%20locaties%20Lewedorp%20en%20Goes.pdf